Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocker),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Outward issue link (Incorporates),Inward issue link (Problem/Incident),Outward issue link (Problem/Incident),Inward issue link (Reference),Inward issue link (Reference),Outward issue link (Reference),Outward issue link (Reference),Outward issue link (Reference),Inward issue link (Regression),Outward issue link (Required),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Affects version (Component)),Custom field (Attachment count),Custom field (Blog - New Blog Administrators),Custom field (Blog - New Blog PMC),Custom field (Blog - Write access),Custom field (Blog Administrator?),Custom field (Blogs - Admin for blog),Custom field (Blogs - Email Address),Custom field (Blogs - Existing Blog Access Level),Custom field (Blogs - Existing Blog Name),Custom field (Blogs - New Blog Write Access),Custom field (Blogs - Username),Custom field (Bug Category),Custom field (Bugzilla - Email Notification Address),Custom field (Bugzilla - List of usernames),Custom field (Bugzilla - PMC Name),Custom field (Bugzilla - Project Name),Custom field (Bugzilla Id),Custom field (Bugzilla Id),Custom field (Change Category),Custom field (Complexity),Custom field (Discovered By),Custom field (Docs Text),Custom field (Enable Automatic Patch Review),Custom field (Epic Link),Custom field (Estimated Complexity),Custom field (Estimated Complexity),Custom field (Evidence Of Open Source Adoption),Custom field (Evidence Of Registration),Custom field (Evidence Of Use On World Wide Web),Custom field (Existing GitBox Approval),Custom field (External issue ID),Custom field (External issue URL),Custom field (Fix version (Component)),Custom field (Flags),Custom field (Git Notification Mailing List),Custom field (Git Repository Import Path),Custom field (Git Repository Name),Custom field (Git Repository Type),Custom field (GitHub Options),Custom field (Github Integration),Custom field (Github Integrations - Other),Custom field (Global Rank),Custom field (INFRA - Subversion Repository Path),Custom field (Initial Confluence Contributors),Custom field (Last public comment date),Custom field (Level of effort),Custom field (Machine Readable Info),Custom field (Mentor),Custom field (New-TLP-TLPName),Custom field (Original story points),Custom field (Parent Link),Custom field (Patch Info),Custom field (Priority),Custom field (Project),Custom field (Protected Branch),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Regression),Custom field (Review Date),Custom field (Reviewer),Custom field (Severity),Custom field (Severity),Custom field (Skill Level),Custom field (Source Control Link),Custom field (Space Description),Custom field (Space Key),Custom field (Space Name),Custom field (Start Date),Custom field (Tags),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test and Documentation Plan),Custom field (Testcase included),Custom field (Tester),Custom field (Workaround),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
URISupport have an bug in method doFastNormalizeUri for normalize EndpointKey ,CAMEL-15983,13347469,Bug,Resolved,CAMEL,Camel,software,acosentino,"Apache Camel is an extremely powerful declarative Java based, type-safe <a href=""http://camel.apache.org/dsl.html"">Domain Specific Language</a> POJO broker, which uses <a href=""http://camel.apache.org/enterprise-integration-patterns.html"">Enterprise Integration Patterns</a> as its foundation for integration.",http://camel.apache.org/,Major,Fixed,,kmanzxbin,kmanzxbin,23/Dec/20 03:24,23/Dec/20 05:46,13/Jul/23 08:32,23/Dec/20 05:46,3.6.0,,,3.7.1,3.8.0,,,,camel-core,,,,0,,,,,"Did not set prev with key after compareTo, and prev value is always the first item of parameter.keySet(), if keyset like this: a, c, b, and the value of sort after for loop is false, but its shoud be true. 

!image-2020-12-23-11-15-49-815.png!

when I build two routes with similar to-endpoint, build 2nd route will trigger registerEndpointCallback method, this makes AbstractCamelContext have two endpoint with similar endpointkey in endpoints(EndpointRegistry), then if I remove one of them by removeRoute method, camel context will invoke removeEndpoints by matchEndpoint at line 742, camel will stop all of them(include its connection pool) but did not remove from EndpointRegistry(key is not match), then when new exchange passing to to-endpoint, connection pool shut down exception is arised.

!image-2020-12-23-11-17-24-982.png!

plz have alook about this issue.

 ",,kmanzxbin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23/Dec/20 03:15;kmanzxbin;image-2020-12-23-11-15-49-815.png;https://issues.apache.org/jira/secure/attachment/13017547/image-2020-12-23-11-15-49-815.png","23/Dec/20 03:17;kmanzxbin;image-2020-12-23-11-17-24-982.png;https://issues.apache.org/jira/secure/attachment/13017546/image-2020-12-23-11-17-24-982.png",,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,false,,Advanced,,,,,,,,,,,,,,,,,9223372036854775807,,,2020-12-23 03:24:29.0,,,,,,,,,,,"0|z0lrg0:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HttpSendDynamicAware doesn't resolve RAW properties,CAMEL-15974,13346787,Bug,Resolved,CAMEL,Camel,software,acosentino,"Apache Camel is an extremely powerful declarative Java based, type-safe <a href=""http://camel.apache.org/dsl.html"">Domain Specific Language</a> POJO broker, which uses <a href=""http://camel.apache.org/enterprise-integration-patterns.html"">Enterprise Integration Patterns</a> as its foundation for integration.",http://camel.apache.org/,Minor,Fixed,davsclaus,iliya.gr,iliya.gr,18/Dec/20 12:47,23/Dec/20 08:08,13/Jul/23 08:33,20/Dec/20 09:23,2.25.2,,,2.25.4,3.7.1,3.8.0,,,camel-http-common,,,,0,,,,,"Dynamic parameters enclosed inside RAW are not resolved inside _HttpSendDynamicAware.createPreProcessor_ method and get passed to CamelHttpQuery enclosed to RAW.
 
Endpoint example:

{code:xml}
<toD uri=""https4://example.com/path?parameter=RAW(${headers.a}-${headers.b})""/>
{code}

The actual query request will be: {code}https4://example.com/path?parameter=RAW(a-b){code}",,davsclaus,iliya.gr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,Unknown,,,,,,,,,,,,,,,,,9223372036854775807,,,Tue Dec 22 11:53:00 UTC 2020,,,,,,,,,,,"0|z0ln8g:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"20/Dec/20 09:19;davsclaus;On Camel 2.x you can try without the RAW();;;","22/Dec/20 11:53;iliya.gr;It will work without placing RAW in most cases, only case I can imagine: {code}https4://example.com/path?parameter=RAW(${headers.a}&${headers.b}){code} (the & will break URL in that case).

I can provide patch for Camel 2.x;;;",,,,,,,,,,,,,,,,,,
SimpleFileLanguage always null due to DummyExchange,CAMEL-15971,13346772,Bug,Resolved,CAMEL,Camel,software,acosentino,"Apache Camel is an extremely powerful declarative Java based, type-safe <a href=""http://camel.apache.org/dsl.html"">Domain Specific Language</a> POJO broker, which uses <a href=""http://camel.apache.org/enterprise-integration-patterns.html"">Enterprise Integration Patterns</a> as its foundation for integration.",http://camel.apache.org/,Minor,Fixed,davsclaus,kstam,kstam,18/Dec/20 11:25,20/Dec/20 16:19,13/Jul/23 08:33,20/Dec/20 16:19,2.23.2,,,2.25.4,3.7.1,3.8.0,,,came-core,,,,0,,,,,"I'm trying to use the File component to move all *.txt files from the 'source' to the 'target' directory. 

{code:java}
        public void configure() throws Exception {
            from(""file://source?fileName=%24%7Bfile%3Aonlyname.noext%7D.txt"")
                .to(""log://org.apache.camel.howto?showAll=true"")
                .to(""file://target"");
        }
{code}

I'm configuring the fileName as ${file:onlyname.noext}.txt. 

https://github.com/apache/camel/blob/camel-2.25.x/camel-core/src/main/java/org/apache/camel/language/simple/SimpleLanguage.java#L85

However, not any file names match ever because the ${file:onlyname.noext} is always null because it's trying to obtain the file name from the exchange which is completely empty.

It seems to me that you should not create a DummyExchange:
https://github.com/apache/camel/blob/camel-2.25.x/camel-core/src/main/java/org/apache/camel/component/file/GenericFileConsumer.java#L701

Please find a demo project attached.



",,davsclaus,kstam,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAMEL-15979,,,,,"18/Dec/20 11:25;kstam;camelftp.tgz;https://issues.apache.org/jira/secure/attachment/13017365/camelftp.tgz",,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,false,,Unknown,,,,,,,,,,,,,,,,,9223372036854775807,,,Sun Dec 20 16:19:53 UTC 2020,,,,,,,,,,,"0|z0ln54:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"18/Dec/20 11:32;davsclaus;If you only want to include .txt files, then use include option. 
https://camel.apache.org/components/2.x/file-component.html

Mind include is a regexp pattern, so use include=.*txt;;;","18/Dec/20 12:30;kstam;We don't support that feature in Syndesis (yet). I can't do it this way?;;;","20/Dec/20 16:19;davsclaus;Okay fixed this in 2.25.x branch;;;",,,,,,,,,,,,,,,,,
mimeMultipart dataformat is not included in the XML DSL for marshal/unmarshal,CAMEL-15962,13346734,Bug,Resolved,CAMEL,Camel,software,acosentino,"Apache Camel is an extremely powerful declarative Java based, type-safe <a href=""http://camel.apache.org/dsl.html"">Domain Specific Language</a> POJO broker, which uses <a href=""http://camel.apache.org/enterprise-integration-patterns.html"">Enterprise Integration Patterns</a> as its foundation for integration.",http://camel.apache.org/,Minor,Fixed,davsclaus,davsclaus,davsclaus,18/Dec/20 08:24,18/Dec/20 08:49,13/Jul/23 08:33,18/Dec/20 08:49,2.25.2,,,2.25.3,3.5.0,,,,camel-blueprint,camel-spring,,,0,,,,,Its fixed in Camel 3.5.0 onwards.,,davsclaus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,Unknown,,,,,,,,,,,,,,,,,9223372036854775807,,,Fri Dec 18 08:49:47 UTC 2020,,,,,,,,,,,"0|z0lmwo:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"18/Dec/20 08:45;davsclaus;There are a few others as well - adding all of them;;;","18/Dec/20 08:49;davsclaus;The fix for 2.x is here
https://github.com/apache/camel/commit/c72c86fb884832b9d5575203162979f44c07fe9a;;;",,,,,,,,,,,,,,,,,,
Incorrect value getSupportExtendedInformation for ManagedPollEnricher,CAMEL-15949,13346174,Bug,Resolved,CAMEL,Camel,software,acosentino,"Apache Camel is an extremely powerful declarative Java based, type-safe <a href=""http://camel.apache.org/dsl.html"">Domain Specific Language</a> POJO broker, which uses <a href=""http://camel.apache.org/enterprise-integration-patterns.html"">Enterprise Integration Patterns</a> as its foundation for integration.",http://camel.apache.org/,Minor,Fixed,,ncasaux,ncasaux,15/Dec/20 18:07,16/Dec/20 15:07,13/Jul/23 08:33,16/Dec/20 15:07,3.6.0,,,3.7.1,3.8.0,,,,camel-core,,,,0,managedbeans,,,,"The value is {code:java}false{code}
However it should be {code:java}true{code}, as there some extended information available for this processor.

",,davsclaus,ncasaux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,Novice,,,,,,,,,,,,,,,,,9223372036854775807,,,Wed Dec 16 15:07:17 UTC 2020,,,,,,,,,,,"0|z0ljg8:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"15/Dec/20 18:08;ncasaux;I can work on this and submit a PR, can someone assign it to me ?;;;","16/Dec/20 09:11;davsclaus;Its fine to say in a comment you work on it. When you have done some more work then we can give your JIRA account self assign rights;;;","16/Dec/20 15:07;davsclaus;Thanks for the PR;;;",,,,,,,,,,,,,,,,,
Hazelcast : client mode : search hazelcast client by name doesn't work,CAMEL-15947,13345918,Bug,Resolved,CAMEL,Camel,software,acosentino,"Apache Camel is an extremely powerful declarative Java based, type-safe <a href=""http://camel.apache.org/dsl.html"">Domain Specific Language</a> POJO broker, which uses <a href=""http://camel.apache.org/enterprise-integration-patterns.html"">Enterprise Integration Patterns</a> as its foundation for integration.",http://camel.apache.org/,Minor,Fixed,zbendhiba,zbendhiba,zbendhiba,14/Dec/20 18:04,15/Dec/20 15:51,13/Jul/23 08:33,15/Dec/20 15:51,3.6.0,,,3.7.1,3.8.0,,,,camel-hazelcast,,,,0,,,,,"Using Hazelcast component with client mode, the search for the hazelcast instance by name doesn't work because we don't use the right class for search.
Use HazelcastClient.getHazelcastClientByName instead of Hazelcast.getHazelcastInstanceByName

",,zbendhiba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,Unknown,,,,,,,,,,,,,,,,,9223372036854775807,,,2020-12-14 18:04:51.0,,,,,,,,,,,"0|z0lhvc:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don't require sObjectName or sObjectClass when streaming with raw payload,CAMEL-15945,13345855,Bug,Resolved,CAMEL,Camel,software,acosentino,"Apache Camel is an extremely powerful declarative Java based, type-safe <a href=""http://camel.apache.org/dsl.html"">Domain Specific Language</a> POJO broker, which uses <a href=""http://camel.apache.org/enterprise-integration-patterns.html"">Enterprise Integration Patterns</a> as its foundation for integration.",http://camel.apache.org/,Major,Fixed,zregvart,zregvart,zregvart,14/Dec/20 12:43,17/Dec/20 15:02,13/Jul/23 08:33,17/Dec/20 15:02,,,,3.7.1,3.8.0,,,,camel-salesforce,,,,0,,,,,We should not require {{sObjectName}} and {{sObjectClass}} parameters if {{rawPayload}} is set to {{true}}.,,zregvart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,Unknown,,,,,,,,,,,,,,,,,9223372036854775807,,,2020-12-14 12:43:24.0,,,,,,,,,,,"0|z0lhhc:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edit this page link no longer takes page-source attribute to account,CAMEL-15944,13345837,Bug,Resolved,CAMEL,Camel,software,acosentino,"Apache Camel is an extremely powerful declarative Java based, type-safe <a href=""http://camel.apache.org/dsl.html"">Domain Specific Language</a> POJO broker, which uses <a href=""http://camel.apache.org/enterprise-integration-patterns.html"">Enterprise Integration Patterns</a> as its foundation for integration.",http://camel.apache.org/,Major,Fixed,zregvart,zregvart,zregvart,14/Dec/20 12:06,14/Dec/20 12:18,13/Jul/23 08:33,14/Dec/20 12:18,,,,,,,,,website,,,,0,,,,,"Seems that we no longer look at {{page-source}} attribute to point to the correct document to edit from the ""Edit this page"" link on the website.

For example if I click on ""Edit this page"" on https://camel.apache.org/components/latest/telegram-component.html I'm taken to https://github.com/apache/camel/edit/master/docs/components/modules/ROOT/pages/telegram-component.adoc, I should have been taken to https://github.com/apache/camel/edit/master/components/camel-telegram/src/main/docs/telegram-component.adoc",,zregvart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,Unknown,,,,,,,,,,,,,,,,,9223372036854775807,,,Mon Dec 14 12:18:33 UTC 2020,,,,,,,,,,,"0|z0lhdc:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"14/Dec/20 12:18;zregvart;Should be fixed in couple of mins.;;;",,,,,,,,,,,,,,,,,,,
spring xml on camel-spring-boot may add route policy factory twice,CAMEL-15942,13345800,Bug,Resolved,CAMEL,Camel,software,acosentino,"Apache Camel is an extremely powerful declarative Java based, type-safe <a href=""http://camel.apache.org/dsl.html"">Domain Specific Language</a> POJO broker, which uses <a href=""http://camel.apache.org/enterprise-integration-patterns.html"">Enterprise Integration Patterns</a> as its foundation for integration.",http://camel.apache.org/,Major,Fixed,davsclaus,davsclaus,davsclaus,14/Dec/20 09:06,14/Dec/20 09:43,13/Jul/23 08:33,14/Dec/20 09:43,,,,3.7.1,3.8.0,,,,camel-spring,camel-spring-boot,,,0,,,,,Because spring xml and also spring boot adds the factory. However its not really recommended to use spring xml on spring boot (eg <beans> via spring import annotation).,,davsclaus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,Unknown,,,,,,,,,,,,,,,,,9223372036854775807,,,2020-12-14 09:06:18.0,,,,,,,,,,,"0|z0lh54:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
camel-spring-boot - Issue with property placeholder in an example,CAMEL-15940,13345673,Bug,Resolved,CAMEL,Camel,software,acosentino,"Apache Camel is an extremely powerful declarative Java based, type-safe <a href=""http://camel.apache.org/dsl.html"">Domain Specific Language</a> POJO broker, which uses <a href=""http://camel.apache.org/enterprise-integration-patterns.html"">Enterprise Integration Patterns</a> as its foundation for integration.",http://camel.apache.org/,Major,Fixed,davsclaus,davsclaus,davsclaus,12/Dec/20 10:42,14/Dec/20 08:21,13/Jul/23 08:33,14/Dec/20 08:21,3.7.0,,,3.8.0,,,,,camel-spring-boot,examples,,,0,,,,,"camel-example-spring-boot-clustered-route-controller

the random.uuid is a problem, and after hardcoding that to 123 you get another problem.",,davsclaus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAMEL-15930,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,Unknown,,,,,,,,,,,,,,,,,9223372036854775807,,,Sun Dec 13 12:46:14 UTC 2020,,,,,,,,,,,"0|z0lgcw:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"13/Dec/20 12:46;davsclaus;Okay so have a fix for this, but note that resolving ${random.uuid} from both spring boot and camel, causes two lookup and therefore a new uuid to be generated.;;;",,,,,,,,,,,,,,,,,,,
