Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocker),Inward issue link (Completes),Outward issue link (Completes),Outward issue link (Completes),Inward issue link (Duplicate),Inward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Problem/Incident),Inward issue link (Problem/Incident),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Inward issue link (Reference),Inward issue link (Reference),Outward issue link (Reference),Outward issue link (Reference),Outward issue link (Supercedes),Inward issue link (Testing),Outward issue link (Testing),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Affects version (Component)),Custom field (Attachment count),Custom field (Blog - New Blog Administrators),Custom field (Blog - New Blog PMC),Custom field (Blog - Write access),Custom field (Blog Administrator?),Custom field (Blogs - Admin for blog),Custom field (Blogs - Email Address),Custom field (Blogs - Existing Blog Access Level),Custom field (Blogs - Existing Blog Name),Custom field (Blogs - New Blog Write Access),Custom field (Blogs - Username),Custom field (Bug Category),Custom field (Bugzilla - Email Notification Address),Custom field (Bugzilla - List of usernames),Custom field (Bugzilla - PMC Name),Custom field (Bugzilla - Project Name),Custom field (Bugzilla Id),Custom field (Bugzilla Id),Custom field (Change Category),Custom field (Complexity),Custom field (Discovered By),Custom field (Docs Text),Custom field (Enable Automatic Patch Review),Custom field (Epic Link),Custom field (Estimated Complexity),Custom field (Evidence Of Open Source Adoption),Custom field (Evidence Of Registration),Custom field (Evidence Of Use On World Wide Web),Custom field (Existing GitBox Approval),Custom field (External issue ID),Custom field (External issue URL),Custom field (Fix version (Component)),Custom field (Flags),Custom field (Git Notification Mailing List),Custom field (Git Repository Import Path),Custom field (Git Repository Name),Custom field (Git Repository Type),Custom field (GitHub Options),Custom field (Github Integration),Custom field (Github Integrations - Other),Custom field (Global Rank),Custom field (INFRA - Subversion Repository Path),Custom field (Initial Confluence Contributors),Custom field (Language),Custom field (Last public comment date),Custom field (Level of effort),Custom field (Machine Readable Info),Custom field (Mentor),Custom field (New-TLP-TLPName),Custom field (Original story points),Custom field (Parent Link),Custom field (Priority),Custom field (Project),Custom field (Protected Branch),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Release Note),Custom field (Review Date),Custom field (Reviewer),Custom field (Severity),Custom field (Severity),Custom field (Skill Level),Custom field (Source Control Link),Custom field (Space Description),Custom field (Space Key),Custom field (Space Name),Custom field (Start Date),Custom field (Tags),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test and Documentation Plan),Custom field (Testcase included),Custom field (Tester),Custom field (Workaround),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
ArrayElementOutputTypeStrategyTest>TypeStrategiesTestBase.testTypeStrategy constantly fails,FLINK-32490,13541970,Bug,Resolved,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Blocker,Fixed,,Sergey Nuyanzin,Sergey Nuyanzin,29/Jun/23 16:04,29/Jun/23 16:11,13/Jul/23 08:29,29/Jun/23 16:11,1.18.0,,,,,,1.18.0,,,,,,,,Table SQL / API,,,,0,test-stability,,,"ArrayElementOutputTypeStrategyTest fails with
{noformat}
[ERROR] Failures: 
[ERROR]   ArrayElementOutputTypeStrategyTest>TypeStrategiesTestBase.testTypeStrategy:58 
expected: ""INT NOT NULL (AtomicDataType@26e4eacd)""
 but was: ""INT NOT NULL (AtomicDataType@1716b369)""
[ERROR]   ArrayElementOutputTypeStrategyTest>TypeStrategiesTestBase.testTypeStrategy:58 
expected: ""INT (AtomicDataType@18ab74e7)""
 but was: ""INT (AtomicDataType@f0704a2)""
{noformat}
 

also could be reproduced locally",,mapohl,Sergey Nuyanzin,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLINK-32257,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Thu Jun 29 16:11:52 UTC 2023,,,,,,,,,,"0|z1ivn4:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"29/Jun/23 16:11;mapohl;master: 5ad86c2f01bea141ca76250ae4035d4e6403c8ea;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SourceCoordinatorAlignmentTest.testAnnounceCombinedWatermarkWithoutStart fails,FLINK-32478,13541888,Bug,Closed,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Blocker,Fixed,fanrui,fanrui,fanrui,29/Jun/23 06:14,30/Jun/23 12:16,13/Jul/23 08:29,30/Jun/23 12:15,1.16.3,1.17.2,1.18.0,,,,1.16.3,1.17.2,1.18.0,,,,,,Connectors / Common,,,,1,pull-request-available,test-stability,,"SourceCoordinatorAlignmentTest.testAnnounceCombinedWatermarkWithoutStart fails

 

Root cause: multiple sources share the same thread pool, and the second source cannot start due to the first source closes the shared thread pool.

https://dev.azure.com/apache-flink/apache-flink/_build/results?buildId=50611&view=logs&j=0da23115-68bb-5dcd-192c-bd4c8adebde1&t=24c3384f-1bcb-57b3-224f-51bf973bbee8&l=8613",,fanrui,Feifan Wang,mapohl,martijnvisser,RocMarshal,Sergey Nuyanzin,taoran,,,,,,,,,,,,,,,,,,,,FLINK-32487,,,FLINK-32411,FLINK-32316,FLINK-32495,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Fri Jun 30 12:16:05 UTC 2023,,,,,,,,,,"0|z1iv5c:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"29/Jun/23 06:18;Feifan Wang;https://dev.azure.com/apache-flink/apache-flink/_build/results?buildId=50623&view=logs&j=0da23115-68bb-5dcd-192c-bd4c8adebde1&t=24c3384f-1bcb-57b3-224f-51bf973bbee8&l=8168;;;","29/Jun/23 06:36;fanrui;All of Flink master, release-1.16 and release-1.17 have this bug, sorry for causing this problem.

I'm fixing it with high priority.;;;","29/Jun/23 10:41;Sergey Nuyanzin;I'm going to upgrade the priority to blocker since all builds on master mirror started to fail now...;;;","29/Jun/23 10:42;Sergey Nuyanzin;https://dev.azure.com/apache-flink/apache-flink/_build/results?buildId=50611&view=logs&j=0da23115-68bb-5dcd-192c-bd4c8adebde1&t=24c3384f-1bcb-57b3-224f-51bf973bbee8&l=8613;;;","29/Jun/23 10:42;Sergey Nuyanzin;https://dev.azure.com/apache-flink/apache-flink/_build/results?buildId=50612&view=logs&j=0da23115-68bb-5dcd-192c-bd4c8adebde1&t=24c3384f-1bcb-57b3-224f-51bf973bbee8&l=8389;;;","29/Jun/23 10:42;Sergey Nuyanzin;https://dev.azure.com/apache-flink/apache-flink/_build/results?buildId=50613&view=logs&j=0da23115-68bb-5dcd-192c-bd4c8adebde1&t=24c3384f-1bcb-57b3-224f-51bf973bbee8&l=8357;;;","29/Jun/23 10:43;Sergey Nuyanzin;https://dev.azure.com/apache-flink/apache-flink/_build/results?buildId=50617&view=logs&j=0da23115-68bb-5dcd-192c-bd4c8adebde1&t=24c3384f-1bcb-57b3-224f-51bf973bbee8&l=8541;;;","29/Jun/23 10:43;Sergey Nuyanzin;https://dev.azure.com/apache-flink/apache-flink/_build/results?buildId=50619&view=logs&j=0da23115-68bb-5dcd-192c-bd4c8adebde1&t=24c3384f-1bcb-57b3-224f-51bf973bbee8&l=8542;;;","29/Jun/23 10:43;Sergey Nuyanzin;https://dev.azure.com/apache-flink/apache-flink/_build/results?buildId=50621&view=logs&j=0da23115-68bb-5dcd-192c-bd4c8adebde1&t=24c3384f-1bcb-57b3-224f-51bf973bbee8&l=8617;;;","29/Jun/23 10:43;Sergey Nuyanzin;https://dev.azure.com/apache-flink/apache-flink/_build/results?buildId=50627&view=logs&j=0da23115-68bb-5dcd-192c-bd4c8adebde1&t=24c3384f-1bcb-57b3-224f-51bf973bbee8&l=8368;;;","29/Jun/23 10:44;Sergey Nuyanzin;https://dev.azure.com/apache-flink/apache-flink/_build/results?buildId=50643&view=logs&j=0da23115-68bb-5dcd-192c-bd4c8adebde1&t=24c3384f-1bcb-57b3-224f-51bf973bbee8&l=8617;;;","29/Jun/23 13:06;mapohl;https://dev.azure.com/apache-flink/apache-flink/_build/results?buildId=50646&view=logs&j=0da23115-68bb-5dcd-192c-bd4c8adebde1&t=24c3384f-1bcb-57b3-224f-51bf973bbee8&l=8095;;;","29/Jun/23 14:38;fanrui;Sorry again for this bug, merged.

<master: 1.18> 210dc81612ddd80abbe46c66322a21c1b38f2000

1.17: a26dfdd44b37a719a2fba2ac8a8a53074332ea74

1.16: 2327a320fd63e3c49838da998e9154a8ac571855;;;","29/Jun/23 17:20;martijnvisser;Looking at https://dev.azure.com/apache-flink/apache-flink/_build/results?buildId=50667&view=logs&j=0da23115-68bb-5dcd-192c-bd4c8adebde1&t=24c3384f-1bcb-57b3-224f-51bf973bbee8 I don’t think this is yet fixed [~fanrui];;;","29/Jun/23 20:09;Sergey Nuyanzin;yep, there is another case for 1.17: https://dev.azure.com/apache-flink/apache-flink/_build/results?buildId=50668&view=logs&j=a57e0635-3fad-5b08-57c7-a4142d7d6fa9&t=2ef0effc-1da1-50e5-c2bd-aab434b1c5b7&l=9089;;;","30/Jun/23 03:24;fanrui;Hi [~martijnvisser]  [~Sergey Nuyanzin] [~mapohl] 

Sorry it wasn't fully fixed, SourceCoordinatorAlignmentTest.testWatermarkAlignmentWithTwoGroups fails now. I have analyzed it, and created FLINK-32495. Let's follow it there.

BTW, FLINK-32495 doesn't happen every time, I just run CI at master branch before merging. I merged them for master, release-1.16 and release-1.17 after the master CI passed.

I will submit multiple PRs in the future for each release branch, and check all CIs. Try to avoid it in the future.

Sorry again for this mistake.;;;","30/Jun/23 05:34;Sergey Nuyanzin;[~fanrui] thanks for working on this

I wonder whether it is possible to retry ci (for the same commit in PR) 2-3 times in a row to be a bit more sure that this or new related issue doesn't appear?;;;","30/Jun/23 05:56;fanrui;I have submit 3 PRs(master, 1.16, 1.17) for FLINK-32495, their changed are same, and they will run CI 3 times, do you think it's ok? Or do you want to run 3 times for master PR?

BTW, I have run `SourceCoordinatorAlignmentTest.testWatermarkAlignmentWithTwoGroups` on my Local more than 1K times. They are fine now with FLINK-32495.

You can check the test at this [comment|https://issues.apache.org/jira/browse/FLINK-32495?focusedCommentId=17738873&page=com.atlassian.jira.plugin.system.issuetabpanels%3Acomment-tabpanel#comment-17738873].;;;","30/Jun/23 06:05;Sergey Nuyanzin;yes, my initial idea was about master

thanks, i will have a look

UPD:

{quote}
 I have submit 3 PRs(master, 1.16, 1.17) for FLINK-32495, their changed are same, and they will run CI 3 times
{quote}
IMHO I don't think we can treat them as same ci runs at least because it's not cherry pick (changes are not identical)

 ;;;","30/Jun/23 06:21;taoran;[~fanrui] hi. ci got this problem again.

https://dev.azure.com/apache-flink/apache-flink/_build/results?buildId=50662&view=logs&j=0da23115-68bb-5dcd-192c-bd4c8adebde1&t=24c3384f-1bcb-57b3-224f-51bf973bbee8&l=8617;;;","30/Jun/23 06:45;martijnvisser;You can always check https://dev.azure.com/apache-flink/apache-flink/_build?definitionId=1&_a=summary for the overview of all PRs that have been merged into master/release branches for an indication if the problem has been resolved. ;;;","30/Jun/23 08:19;fanrui;{quote} I don't think we can treat them as same ci runs at least because it's not cherry pick (changes are not identical)
{quote}
Actually, the first commit of them are cherry pick. I developed the master commit, and cherry pick to 1.16 and 1.17.

Also, I added a limitation for master PR based on this bug.

Why do I prefer to run only 1 time?
 * It blocks all CIs, I want to fix it asap. Each separate CI run takes 4 hours and I'm afraid we won't be able to fix it today.
 * They are cherry pick, 3 different PRs can show whether the problem has been fixed.
 * I run the failed test on my Mac more than 1K times.

Of course, running CI of each PR three times is more robust. If all of you think it's necessary, I will follow it.

 ;;;","30/Jun/23 12:16;martijnvisser;I re-opened this before FLINK-32495 was filed. With that ticket now closed, it looks like all issues are resolved so closing this ticket too. ;;;",,,,,,,,,,,,,,,,,,,,,,,,,,
Invalid input strategy for many functions which allows BINARY strings,FLINK-32466,13541748,Bug,Closed,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Fixed,twalthr,twalthr,twalthr,28/Jun/23 09:35,10/Jul/23 17:12,13/Jul/23 08:29,10/Jul/23 17:12,,,,,,,1.18.0,,,,,,,,Table SQL / Planner,,,,0,pull-request-available,,,"""string"" in SQL terms covers both character strings and binary strings. The author of CONCAT might not have known this. In any case, the code gen instead of the validator fails when executing:

{code}
TableEnvironment t = TableEnvironment.create(EnvironmentSettings.inStreamingMode());
t.createTemporaryView(""t"", t.fromValues(lit(new byte[] {97})));
t.executeSql(""SELECT CONCAT(f0, '-magic') FROM t"").print();
{code}

As future work, we should also allow binary strings.",,twalthr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Mon Jul 10 17:12:15 UTC 2023,,,,,,,,,,"0|z1iua8:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"28/Jun/23 11:49;twalthr;This bugs affects many functions not only CONCAT. In the PR I went through all functions and synchronized the strategy with the runtime implementation.;;;","10/Jul/23 17:12;twalthr;Merged to master: 4cf2124d71a8dd0595e40f07c2dbcc4c85883b82;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KerberosLoginProvider.isLoginPossible does accidental login with keytab,FLINK-32465,13541745,Bug,Closed,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Fixed,gaborgsomogyi,gaborgsomogyi,gaborgsomogyi,28/Jun/23 09:30,28/Jun/23 15:51,13/Jul/23 08:29,28/Jun/23 15:51,1.17.2,1.18.0,,,,,1.17.2,1.18.0,,,,,,,API / Core,,,,0,pull-request-available,,,"In KerberosLoginProvider.isLoginPossible there is a call to UserGroupInformation.getCurrentUser() before principal check (keytab usage). This triggers an accidental login with either kerberos credentials if available, or as the local OS user, based on security settings. This is not problematic most of the time since KerberosLoginProvider.doLogin overwrites the credentials with keytab. The problem hurts however when login fails for whatever reason. Such case the workload is just not starting.",,gaborgsomogyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Wed Jun 28 13:39:12 UTC 2023,,,,,,,,,,"0|z1iu9k:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"28/Jun/23 13:39;gaborgsomogyi;e33875e on master
0472cc1 on release-1.17;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
manage  union operator state increase very large in Jobmanager ,FLINK-32461,13541685,Bug,Closed,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Fixed,,1026688210,1026688210,28/Jun/23 08:06,02/Jul/23 02:51,13/Jul/23 08:29,02/Jul/23 02:51,1.17.1,,,,,,,,,,,,,,,,,,0,,,,"This issue doesn't usually occur, but it happens during busy nights when the machines are more active. The ""manage operator state"" will increase significantly, and I found the number of  operator union state object is 128 ,same with the parallelism .Whether the union state only needs to be loaded once?

 !screenshot-1.png! 
 !image-2023-06-28-16-24-11-538.png! 
",,1026688210,fanrui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28/Jun/23 08:24;1026688210;image-2023-06-28-16-24-11-538.png;https://issues.apache.org/jira/secure/attachment/13060920/image-2023-06-28-16-24-11-538.png","28/Jun/23 08:08;1026688210;screenshot-1.png;https://issues.apache.org/jira/secure/attachment/13060919/screenshot-1.png",,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,9223372036854775807,,,,2023-06-28 08:06:56.0,,,,,,,,,,"0|z1itw8:",9223372036854775807,it's a usage problem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flink-connector-kafka does not build against Flink 1.18-SNAPSHOT,FLINK-32453,13541653,Bug,Closed,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Blocker,Fixed,tzulitai,tzulitai,tzulitai,28/Jun/23 02:25,12/Jul/23 12:51,13/Jul/23 08:29,12/Jul/23 12:51,kafka-3.0.0,,,,,,kafka-3.0.1,kafka-3.1.0,,,,,,,Connectors / Kafka,,,,0,pull-request-available,,,"There are a few breaking changes in test utility code that prevents {{apache/flink-connector-kafka}} from building against Flink 1.18-SNAPSHOT. This umbrella ticket captures all breaking changes, and should only be closed once we make things build again.",,tzulitai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Wed Jun 28 02:27:45 UTC 2023,,,,,,,,,,"0|z1itp4:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"28/Jun/23 02:27;tzulitai;cc 1.18.0 release managers [~knaufk] [~martijnvisser] [~renqs] ;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connector Shared Utils checks out wrong branch when running CI for PRs,FLINK-32448,13541612,Bug,Closed,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Blocker,Fixed,martijnvisser,martijnvisser,martijnvisser,27/Jun/23 17:58,27/Jun/23 18:53,13/Jul/23 08:29,27/Jun/23 18:52,,,,,,,,,,,,,,,Build System,,,,0,pull-request-available,,,"Since FLINK-31923, when a branch is not specified, all CI runs use {{main}} as the default branch when none is specified. This doesn't work when submitting a PR, since it shouldn't use {{main}} but it should use the specific ref that triggered that workflow. ",,martijnvisser,mason6345,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLINK-31923,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Tue Jun 27 18:52:51 UTC 2023,,,,,,,,,,"0|z1itg0:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"27/Jun/23 18:52;martijnvisser;PR also tests this behavior now, then it was tried on https://github.com/apache/flink-connector-gcp-pubsub/pull/11, https://github.com/apache/flink-connector-gcp-pubsub/pull/12 (which was broken first) and lastly with a manually triggered nightly build at https://github.com/apache/flink-connector-gcp-pubsub/actions/runs/5393387648

Fixed in apache/flink-connector-shared-utils:ci_utils - edaacb2b7fb7d19b9aa79b144eb40bca2c447d51;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table hints lost when they inside a view referenced by an external query,FLINK-32447,13541582,Bug,Closed,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Fixed,lincoln.86xy,lincoln.86xy,lincoln.86xy,27/Jun/23 14:23,29/Jun/23 04:26,13/Jul/23 08:29,28/Jun/23 04:27,1.17.1,,,,,,1.17.2,1.18.0,,,,,,,Table SQL / Planner,,,,0,pull-request-available,,,"Table hints will lost when they inside a view referenced by an external query, this is due to the upgrading of calcite-1.28 (affected by CALCITE-4640 which changed the default implementation of SqlDialect suppresses all table hints).
This can be reproduced by adding a new case to current {code}OptionsHintTest{code}:
{code}
+
+  @Test
+  def testOptionsHintInsideView(): Unit = {
+    util.tableEnv.executeSql(
+      ""create view v1 as select * from t1 /*+ OPTIONS(k1='#v111', k4='#v444')*/"")
+    util.verifyExecPlan(s""""""
+                           |select * from t2 join v1 on v1.a = t2.d
+                           |"""""".stripMargin)
+  }
{code}
wrong plan which lost table hints(dynamic options):
{code}
Join(joinType=[InnerJoin], where=[(a = d)], select=[d, e, f, a, b, c], leftInputSpec=[NoUniqueKey], rightInputSpec=[NoUniqueKey])
:- Exchange(distribution=[hash[d]])
:  +- LegacyTableSourceScan(table=[[default_catalog, default_database, t2, source: [OptionsTableSource(props={k3=v3, k4=v4})]]], fields=[d, e, f])
+- Exchange(distribution=[hash[a]])
   +- Calc(select=[a, b, (a + 1) AS c])
      +- LegacyTableSourceScan(table=[[default_catalog, default_database, t1, source: [OptionsTableSource(props={k1=v1, k2=v2})]]], fields=[a, b])
{code}

We should use {code}AnsiSqlDialect{code} instead to reserve table hints.",,lincoln.86xy,qingyue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Thu Jun 29 04:26:06 UTC 2023,,,,,,,,,,"0|z1it9c:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"28/Jun/23 04:27;lincoln.86xy;fixed in master: e35f33f539b09b2c18fb826a144c08541e148dd0;;;","29/Jun/23 04:26;lincoln.86xy;fixed in 1.17:  8da3785d798cc6111f463ee1665ff62a42098274;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MongoWriter should regularly check whether the last write time is greater than the specified time.,FLINK-32446,13541560,Bug,Resolved,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Major,Fixed,jiabao.sun,jiabao.sun,jiabao.sun,27/Jun/23 12:09,28/Jun/23 06:08,13/Jul/23 08:29,28/Jun/23 04:07,mongodb-1.0.0,mongodb-1.0.1,,,,,mongodb-1.1.0,,,,,,,,Connectors / MongoDB,,,,0,pull-request-available,,,"Mongo sink waits for new record to write previous records. I have a upsert-kafka topic filled that has already some events. I start a new upsert-kafka to mongo db sink job. I expect all the data from the topic to be loaded to mongodb right away. But instead, only the first record is written to mongo db. The rest of the records don’t arrive in mongodb until a new event is written to kafka topic. The new event that was written is delayed until the next event arrives. 

To prevent this problem, the MongoWriter should regularly check whether the last write time is greater than the specified time.",,jiabao.sun,leonard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,https://lists.apache.org/thread/15mmltprxdb7hyjv0syok6fzcbfk9coj,,,,,,,,,,9223372036854775807,,,,Wed Jun 28 04:07:19 UTC 2023,,,,,,,,,,"0|z1it4g:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"27/Jun/23 12:10;jiabao.sun;[~Leonard] Can you help assign this ticket to me?;;;","27/Jun/23 13:24;leonard;Thanks  [~jiabao.sun] for reporting this issue, assigned to you.;;;","28/Jun/23 04:07;leonard;Fixed in flink-connector-mongodb(main): 49b7550fbc0285e1c605c5b0efdae762cd9b144b;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DefaultSchedulerTest#testTriggerCheckpointAndCompletedAfterStore fails with timeout on AZP,FLINK-32441,13541480,Bug,Closed,FLINK,Flink,software,sewen,"<h3><a name=""Flink""></a>Welcome to the Apache Flink project</h3>
<p>Apache Flink is an open source platform for scalable batch and stream data processing.</p>",https://flink.apache.org,Critical,Fixed,srichter,Sergey Nuyanzin,Sergey Nuyanzin,26/Jun/23 22:21,27/Jun/23 13:08,13/Jul/23 08:29,27/Jun/23 12:50,1.18.0,,,,,,1.18.0,,,,,,,,API / Core,Tests,,,0,pull-request-available,test-stability,,"This build https://dev.azure.com/apache-flink/apache-flink/_build/results?buildId=50461&view=logs&j=0da23115-68bb-5dcd-192c-bd4c8adebde1&t=24c3384f-1bcb-57b3-224f-51bf973bbee8&l=9274

fails with timeout on {{DefaultSchedulerTest#testTriggerCheckpointAndCompletedAfterStore}}

",,martijnvisser,Sergey Nuyanzin,srichter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Tue Jun 27 12:50:26 UTC 2023,,,,,,,,,,"0|z1isn4:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"27/Jun/23 06:30;Sergey Nuyanzin;https://dev.azure.com/apache-flink/apache-flink/_build/results?buildId=50467&view=logs&j=0da23115-68bb-5dcd-192c-bd4c8adebde1&t=24c3384f-1bcb-57b3-224f-51bf973bbee8&l=8576;;;","27/Jun/23 07:49;Sergey Nuyanzin;[~srichter] it looks it starts appearing after merging of FLINK-32347
could you please have a look?;;;","27/Jun/23 11:41;martijnvisser;Other occurrences: 
https://dev.azure.com/apache-flink/apache-flink/_build/results?buildId=50480&view=logs&j=0da23115-68bb-5dcd-192c-bd4c8adebde1&t=24c3384f-1bcb-57b3-224f-51bf973bbee8&l=9212

https://dev.azure.com/apache-flink/apache-flink/_build/results?buildId=50489&view=logs&j=0da23115-68bb-5dcd-192c-bd4c8adebde1&t=24c3384f-1bcb-57b3-224f-51bf973bbee8&l=9195

Depending if this will occur more, we'll have to bump this one to a blocker;;;","27/Jun/23 12:50;srichter;Fixed in master 0c787f5.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
