Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocker),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Container),Inward issue link (Duplicate),Inward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Inward issue link (Reference),Inward issue link (Reference),Outward issue link (Reference),Outward issue link (Reference),Outward issue link (Reference),Inward issue link (Regression),Outward issue link (Regression),Outward issue link (Regression),Attachment,Attachment,Attachment,Custom field (Affects version (Component)),Custom field (Attachment count),Custom field (Blog - New Blog Administrators),Custom field (Blog - New Blog PMC),Custom field (Blog - Write access),Custom field (Blog Administrator?),Custom field (Blogs - Admin for blog),Custom field (Blogs - Email Address),Custom field (Blogs - Existing Blog Access Level),Custom field (Blogs - Existing Blog Name),Custom field (Blogs - New Blog Write Access),Custom field (Blogs - Username),Custom field (Bug Category),Custom field (Bugzilla - Email Notification Address),Custom field (Bugzilla - List of usernames),Custom field (Bugzilla - PMC Name),Custom field (Bugzilla - Project Name),Custom field (Bugzilla Id),Custom field (Bugzilla Id),Custom field (Change Category),Custom field (Complexity),Custom field (Discovered By),Custom field (Docs Text),Custom field (Enable Automatic Patch Review),Custom field (Epic Link),Custom field (Estimated Complexity),Custom field (Evidence Of Open Source Adoption),Custom field (Evidence Of Registration),Custom field (Evidence Of Use On World Wide Web),Custom field (Existing GitBox Approval),Custom field (External issue URL),Custom field (Fix version (Component)),Custom field (Flags),Custom field (Git Notification Mailing List),Custom field (Git Repository Import Path),Custom field (Git Repository Name),Custom field (Git Repository Type),Custom field (GitHub Options),Custom field (Github Integration),Custom field (Github Integrations - Other),Custom field (Global Rank),Custom field (INFRA - Subversion Repository Path),Custom field (Initial Confluence Contributors),Custom field (Last public comment date),Custom field (Level of effort),Custom field (Machine Readable Info),Custom field (Mentor),Custom field (New-TLP-TLPName),Custom field (Original story points),Custom field (Parent Link),Custom field (Priority),Custom field (Project),Custom field (Protected Branch),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Review Date),Custom field (Reviewer),Custom field (Severity),Custom field (Severity),Custom field (Skill Level),Custom field (Source Control Link),Custom field (Space Description),Custom field (Space Key),Custom field (Space Name),Custom field (Start Date),Custom field (Tags),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test and Documentation Plan),Custom field (Testcase included),Custom field (Tester),Custom field (Workaround),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Issue With Static Compiler And Generics,GROOVY-8427,13127712,Bug,Closed,GROOVY,Groovy,software,paulk,Groovy programming language: a modern multi-faceted language for the JVM,https://groovy.apache.org,Major,Fixed,emilles,jeffscottbrown,jeffscottbrown,29/Dec/17 21:11,03/Feb/22 22:34,14/Jul/23 06:02,09/May/21 13:55,2.4.13,,,,,,,,2.5.15,3.0.8,4.0.0-beta-1,,Compiler,,,,0,,,,,,,"This code will compile:

{code:title=src/main/groovy/demo/Bar.groovy|borderStyle=solid}
package demo
import java.util.function.Consumer
import groovy.transform.CompileStatic

@CompileStatic
class Bar {

    static <T> void foo(T a, Consumer<T> c) {  }

    static void main(args) {
        def c = {
            foo('') {
                println 'hello'
            }
        }
    }
}
{code}

This code will not compile:

{code:title=src/main/groovy/demo/Bar.groovy|borderStyle=solid}
package demo
import java.util.function.Consumer
import groovy.transform.CompileStatic

@CompileStatic
class Bar {

    static <T> void foo(T a, Consumer<T> c) {  }

    static void main(args) {
        def c = {
            // this following line is the only difference
            int x = 0
            foo('') {
                println 'hello'
            }
        }
    }
}
{code}

{noformat}
/Users/jeffbrown/projects/project/src/main/groovy/demo/Bar.groovy: 14: [Static type checking] - Cannot call <T> demo.Bar#foo(T, java.util.function.Consumer <T>) with arguments [java.lang.String, groovy.lang.Closure <java.lang.Void>] 
 @ line 14, column 13.
               foo('') {
               ^

1 error
{noformat}

I have only tested with Groovy 2.4.13.",,jeffscottbrown,jwagenleitner,paulk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,9223372036854775807,,,Sun Dec 31 01:39:10 UTC 2017,,,,,,,,,,"0|i3odj3:",9223372036854775807,,,,,,,,,,,,,,,,,,,"31/Dec/17 01:39;paulk;Looks weird to me. You can also get the compiler to behave by returning String from your Closure, e.g.:
{code}
 def c = {
    int x = 0 // with or without is fine
    foo('') {
        println 'hello'
        ''
    }
}
{code};;;",,,,,,,,,,,,,,,,,,,,,
Private and protected inner classes have incorrect access modifier values,GROOVY-8423,13127004,Bug,Closed,GROOVY,Groovy,software,paulk,Groovy programming language: a modern multi-faceted language for the JVM,https://groovy.apache.org,Major,Fixed,shils,shils,shils,24/Dec/17 06:04,09/Dec/19 21:36,14/Jul/23 06:02,14/Nov/19 23:25,2.4.13,,,,,,,,3.0.0-rc-2,,,,Compiler,,,,0,,,,,,,"{code}
import java.lang.reflect.Modifier           
class Foo {                                 
    private class Private {}
    protected class Protected {}

    static void test() {
        assert Modifier.isPrivate(Private.class.getModifiers()) \\ 0
        assert Modifier.isProtected(Protected.class.getModifiers()) \\ 1
    }            
}                                           
Foo.test()
{code}

The test above fails (on both assertions). This appears to be due to the ACC_PRIVATE and ACC_PROTECTED modifiers being removed/replaced for inner classes, as well as from their inner class table entries (see GROOVY-6357). Though those modifiers aren't valid for the classes themselves, they are allowed in the inner classes table (https://docs.oracle.com/javase/specs/jvms/se7/html/jvms-4.html#jvms-4.7.6).",,githubbot,shils,,,,,,,"asfgit commented on pull request #648: GROOVY-8423: Do not adjust access modifiers for inner class table ent…
URL: https://github.com/apache/groovy/pull/648
 
 
   
 
----------------------------------------------------------------
This is an automated message from the Apache Git Service.
To respond to the message, please log on to GitHub and use the
URL above to go to the specific comment.
 
For queries about this service, please contact Infrastructure at:
users@infra.apache.org
;14/Nov/19 23:24;githubbot;600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,600,,,0,600,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,9223372036854775807,,,Sun Dec 24 18:33:56 UTC 2017,,,,,,,,,,"0|i3o95z:",9223372036854775807,,,,,,,,,,,,,,,,,,,"24/Dec/17 17:58;githubbot;GitHub user shils opened a pull request:

    https://github.com/apache/groovy/pull/648

    GROOVY-8423: Do not adjust access modifiers for inner class table ent…

    …ries

You can merge this pull request into a Git repository by running:

    $ git pull https://github.com/shils/groovy GROOVY-8423

Alternatively you can review and apply these changes as the patch at:

    https://github.com/apache/groovy/pull/648.patch

To close this pull request, make a commit to your master/trunk branch
with (at least) the following in the commit message:

    This closes #648
    
----
commit 9353cbf62713a63f43cb22dafd6e4c99885ea9a1
Author: Shil Sinha <shils@...>
Date:   2017-12-24T17:54:22Z

    GROOVY-8423: Do not adjust access modifiers for inner class table entries

----
;;;","24/Dec/17 18:33;githubbot;Github user shils commented on a diff in the pull request:

    https://github.com/apache/groovy/pull/648#discussion_r158607705
  
    --- Diff: src/main/java/org/codehaus/groovy/classgen/AsmClassGenerator.java ---
    @@ -305,11 +305,6 @@ private void makeInnerClassEntry(ClassNode cn) {
             }
             int mods = adjustedClassModifiersForInnerClassTable(cn);
     
    -
    -        if (Modifier.isPrivate(mods)) {
    --- End diff --
    
    I'm unsure about removing this block as the commit message suggests it was necessary for android support. Does anyone know the history behind this? @melix 
;;;",,,,,,,,,,,,,,,,,,,,
Incorrect properties copy in Sql.newInstance ,GROOVY-8422,13126901,Bug,Closed,GROOVY,Groovy,software,paulk,Groovy programming language: a modern multi-faceted language for the JVM,https://groovy.apache.org,Major,Fixed,jwagenleitner,thw,thw,22/Dec/17 21:55,26/Jul/18 04:44,14/Jul/23 06:02,06/Mar/18 03:30,2.4.13,,,,,,,,2.4.15,,,,SQL processing,,,,0,,,,,,,"The constructor `Properties(Properties defaults)` does not create a copy, but a new object with the argument as defaults. That breaks JDBC drivers that expect the properties to be present in the object directly (enumerating of keys, containsKey etc.).

",,githubbot,jwagenleitner,thw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,9223372036854775807,,,Tue Mar 06 03:30:09 UTC 2018,,,,,,,,,,"0|i3o8jb:",9223372036854775807,,,,,,,,,,,,,,,,,,,"22/Dec/17 21:58;thw;https://github.com/apache/groovy/blob/4139798c5715403bcba0de2bf64d80a5aa1cb613/subprojects/groovy-sql/src/main/java/groovy/sql/Sql.java#L585

{code}
        if (props != null) {
            Properties propsCopy = new Properties(props);
            connection = DriverManager.getConnection(url.toString(), propsCopy);
{code};;;","05/Mar/18 16:39;githubbot;GitHub user jwagenleitner opened a pull request:

    https://github.com/apache/groovy/pull/671

    GROOVY-8422: Incorrect properties copy in Sql.newInstance

    The provided Properties should be passed to the DriverManager as-is.
    A copy is only needed when changes are made to the provided Properties
    in order to mask sensitive information for logging purposes.

You can merge this pull request into a Git repository by running:

    $ git pull https://github.com/jwagenleitner/groovy 8422-sql-props

Alternatively you can review and apply these changes as the patch at:

    https://github.com/apache/groovy/pull/671.patch

To close this pull request, make a commit to your master/trunk branch
with (at least) the following in the commit message:

    This closes #671
    
----
commit 1f833b4af4e5e5ac667967b55f279e9534d5ec58
Author: John Wagenleitner <jwagenleitner@...>
Date:   2018-03-05T16:35:33Z

    GROOVY-8422: Incorrect properties copy in Sql.newInstance
    
    The provided Properties should be passed to the DriverManager as-is.
    A copy is only needed when changes are made to the provided Properties
    in order to mask sensitive information for logging purposes.

----
;;;","06/Mar/18 03:03;githubbot;Github user asfgit closed the pull request at:

    https://github.com/apache/groovy/pull/671
;;;","06/Mar/18 03:30;jwagenleitner;Thanks for reporting the issue.;;;",,,,,,,,,,,,,,,,,,
getSet* property name => Cannot read write-only property exception,GROOVY-8418,13125064,Bug,Closed,GROOVY,Groovy,software,paulk,Groovy programming language: a modern multi-faceted language for the JVM,https://groovy.apache.org,Minor,Fixed,,emge,emge,15/Dec/17 00:11,24/Nov/19 02:44,14/Jul/23 06:02,30/Oct/19 18:58,2.4.7,,,,,,,,2.5.8,3.0.0-rc-1,,,Compiler,,,,0,,,,,,,"* When accessing a property whose name starts with ""getSet"", Groovy throws
{code}
GroovyRuntimeException: Cannot read write-only property: getSet...
{code} 
* Example:
{code}
// Returns the SQL update statement representation of the DB object
GString getSetSql() { ... }
{code}
",,emge,emilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,9223372036854775807,,,Wed Oct 30 18:58:48 UTC 2019,,,,,,,,,,"0|i3nx9j:",9223372036854775807,,,,,,,,,,,,,,,,,,,"30/Oct/19 18:58;emilles;Tested with this code:
{code:groovy}
class Groovy8418 {
  static main(args) {
    def obj = this.newInstance()
    println obj.getSetOfValues()
    println obj.setOfValues
  }
  def getSetOfValues() {
    'stuff'
  }
}
{code}

Prints ""stuff\nstuff\n"", with or without {{@CompileStatic}}.;;;",,,,,,,,,,,,,,,,,,,,,
Map-based constructor generated by @Immutable works only with HashMap,GROOVY-8416,13124997,Bug,Closed,GROOVY,Groovy,software,paulk,Groovy programming language: a modern multi-faceted language for the JVM,https://groovy.apache.org,Major,Fixed,paulk,anma,anma,14/Dec/17 16:30,25/May/21 15:59,14/Jul/23 06:02,06/Mar/18 23:38,2.4.13,,,,,,,,2.5.0-beta-3,,,,,,,,0,,,,,,,"If you call the map-based constructor of an {{@Immutable}} class with a non-{{HashMap}}, it will try to set the properties via setters, which causes a {{ReadOnlyPropertyException}}. Somehow it works with {{HashMap}} or subclasses like {{LinkedHashMap}}. Why?

{code}
import groovy.transform.Immutable

@Immutable
class Point {
	int x
	int y
}

def coordinates = [x: 1, y: 2]
assert coordinates instanceof LinkedHashMap

def p1 = new Point(coordinates)
assert p1.x == 1

def p2 = new Point(new HashMap(coordinates))
assert p2.x == 1

try {
	new Point(new TreeMap(coordinates))
} catch (e) {
	assert e instanceof ReadOnlyPropertyException
}

try {
	new Point(coordinates.asImmutable())
} catch (e) {
	assert e instanceof ReadOnlyPropertyException
}
{code}",,anma,paulk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GROOVY-10108,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,9223372036854775807,,,Tue Mar 06 23:38:22 UTC 2018,,,,,,,,,,"0|i3nwun:",9223372036854775807,,,,,,,,,,,,,,,,,,,"15/Dec/17 00:35;paulk;I'll have to look at the code and tests to remember for sure but I think there is some provision made for Map-based properties, i.e. this is allowed:
{code}
@Immutable
class Point {
  TreeMap props
}

TreeMap map = [color: 'red', x: 2, y: -3]
println new Point(map)
println new Point(props: map)
{code}
So both an ordered tuple constructor (with TreeMap arg) and map-based constructor (with HashMap arg) are provided.
There are issues if props above is made a Map or HashMap for example and I think only one Map-based constructor is provided. Perhaps the assumptions behind that code can be improved though.;;;","06/Mar/18 23:38;paulk;This was fixed as part of recent changes for 2.5.0-beta-3 but I forgot to close this issue before release. Commit: e5e8fe1af3

It means in your example you can now do:
{code}
def p3 = new Point(new TreeMap(coordinates))
assert p3.x == 1
{code}
;;;",,,,,,,,,,,,,,,,,,,,
Static compilation with generic function wrapping BiFunction causes GroovyCastException,GROOVY-8409,13123925,Bug,Closed,GROOVY,Groovy,software,paulk,Groovy programming language: a modern multi-faceted language for the JVM,https://groovy.apache.org,Critical,Fixed,emilles,svella,svella,09/Dec/17 16:55,02/Sep/22 23:54,14/Jul/23 06:02,07/May/21 15:18,2.4.13,2.4.8,,,,,,,2.5.17,3.0.11,4.0.0-beta-1,,Static compilation,,,,1,,,,,,,"I have a statically compiled class with a method that declares Generic type T as it's return type and accepts a parameter of type java.util.function.BiFunction also with return type T. It makes a call to the passed in BiFunction and assigns the the result to a variable of type T.
{code:java}
static <T> T actionWrapperT(BiFunction<Date, URL, T> action) {
        T result = action.apply(new Date(), new URL('http://www.example.com'))
        // do something else here
        return result
    }
{code}
When actionWrapperT is called with runtime type T as something other than Date (e.g. XXX), it causes a GroovyCastException.
{panel}
org.codehaus.groovy.runtime.typehandling.GroovyCastException: Cannot cast object 'XXX@71b1176b' with class 'XXX' to class 'java.util.Date'
{panel}
because it incorrectly tries to cast result type to Date rather than to XXX.

It appears to me that the compiler is conflating generic type T as declared for the generic method with generic type T as declared by BiFunction<T,U,R> because if I change the name of the generic type of the generic method to R (to match the return type name of BiFunction) or to some other name not used by BiFunction, then it works correctly, but if I change it to U to match the second parameter of the BiFunction then it fails trying to cast to the BiFunction generic type U instead of the method generic type U.

Problem does not happen under normal compilation or with only type checking enabled.

Attached file Bug.groovy reproduces the problem.",MacOS Sierra 10.12.6,daniel_sun,kenzierocks,paulk,svella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GROOVY-9267,,,,,,,GROOVY-10745,,,,,,"09/Dec/17 16:54;svella;Bug.groovy;https://issues.apache.org/jira/secure/attachment/12901363/Bug.groovy",,,,1.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,9223372036854775807,,,Sun Oct 07 02:08:56 UTC 2018,,,,,,,,,,"0|i3nq9j:",9223372036854775807,,,,,,,,,,,,,,,,,,,"19/Dec/17 21:53;svella;Since reporting this issue 10 days ago I have run into this same general problem several times, which is probably best described as the generic type names from the call site scope getting conflated with the generic type names from declaration when CompileStatic is enabled. I've seen it both manifest itself at run time as described in the original bug because of an erroneous call to castTo() and at compile time where it either erroneously flags a type mismatch or can't resolve a property or method because it's trying to do so with the wrong type.;;;","18/Aug/18 10:01;daniel_sun;The content of resolvedPlaceholders is shown as follows:
{code:java}
{R=T, T=java.util.Date, U=java.net.URL}
{code}
Note: the `T` of `R=T` is defined by user, but the `T` of `T=java.util.Date` is defined in `BiFunction`. As a result, R -> T -> Date

We should not just use generics name whose type is `String`.

 

The relevant code is:
{code:java}
//https://github.com/apache/groovy/blob/master/src/main/java/org/codehaus/groovy/transform/stc/StaticTypeCheckingVisitor.java#L4954-L4957

        Map<String, GenericsType> resolvedPlaceholders = resolvePlaceHoldersFromDeclaration(receiver, getDeclaringClass(method, arguments), method, method.isStatic());
        if (!receiver.isGenericsPlaceHolder()) {
            GenericsUtils.extractPlaceholders(receiver, resolvedPlaceholders);
        }
{code};;;","19/Aug/18 12:30;daniel_sun;Since `GenericsType` does not have declaring class, so it will cost more time to fix the issue... 
You can workaround the issue as follows(rename the generics parameter to other name, e.g. `X`)


{code:java}
        import groovy.transform.CompileStatic
        import java.util.function.BiFunction
        @CompileStatic
        class Groovy8409Bug {
        
            static <X> X actionWrapperT(BiFunction<Date, URL, X> action) {
                X result = action.apply(new Date(), new URL('http://www.example.com'))
                // do something else here
                return result
            }
        
            static void main(String[] args) {
                Groovy8409Bug t = actionWrapperT { Date date, URL url -> new Groovy8409Bug() }
            }
        
        }
{code};;;","19/Aug/18 14:02;daniel_sun;See `GenericsTypeName` https://github.com/apache/groovy/blob/master/src/main/java/org/codehaus/groovy/ast/GenericsType.java#L502-L514
;;;","26/Aug/18 01:44;paulk;Standalone example for testing showing two failing cases and two working cases (R workaround since that matches the third generic type in BiFunction and V since that avoids all existing types):
{code}
import java.util.function.BiFunction
import groovy.transform.CompileStatic

//@CompileStatic (if uncommented: GroovyCastException: Cannot cast object 'foo' with class 'java.lang.String' to class 'java.util.Date')
static <T> T actionWrapperT(BiFunction<Date, URL, T> action) {
    T result = action.apply(new Date(), new URL('http://www.example.com'))
    // do something else here
    return result
}

//@CompileStatic (if uncommented: GroovyCastException: Cannot cast object 'foo' with class 'java.lang.String' to class 'java.net.URL')
static <U> U actionWrapperU(BiFunction<Date, URL, U> action) {
    U result = action.apply(new Date(), new URL('http://www.example.com'))
    // do something else here
    return result
}

@CompileStatic
static <R> R actionWrapperR(BiFunction<Date, URL, R> action) {
    R result = action.apply(new Date(), new URL('http://www.example.com'))
    // do something else here
    return result
}

@CompileStatic
static <V> V actionWrapperV(BiFunction<Date, URL, V> action) {
    V result = action.apply(new Date(), new URL('http://www.example.com'))
    // do something else here
    return result
}

actionWrapperT{ Date d, URL u -> ""foo"" }
actionWrapperU{ Date d, URL u -> ""foo"" }
actionWrapperR{ Date d, URL u -> ""foo"" }
actionWrapperV{ Date d, URL u -> ""foo"" }
{code}
I will raise the priority of this too.;;;","07/Oct/18 00:53;kenzierocks;This is a pretty big blocker for {{@CompileStatic}} usage in Gradle, as with 5.0 {{PluginContainer#getPlugin(Class)}} can no longer return the type of the passed class according to the type checker. I'm willing to take a look into adding the required scoping information to {{GenericsTypeName}} if no one else is already doing so.

 

See also: (1) from https://github.com/gradle/gradle/issues/7048.;;;","07/Oct/18 02:08;daniel_sun;Hi [~kenzierocks],

I tried to fix the issue, but time was not allowed(completed some refactoring to extract GenericsTypeName), so I'm very glad to know you are willing to investigate the issue. As you found, the core problem is how to add scope information(e.g. declaring class, enclosing generics type, etc.) to GenericsTypeName.

 As a note side, the following two {{L}}(1st -> String, 2nd -> GString) and two {{R}} (1st -> Integer, 2nd -> Long) should be distinguished too, so only declaring class is not enough, maybe we need enclosing generics type too.
{code:java}
class Pair<L, R> {}

           L       R              L        R
Pair<Pair<String, Integer>, Pair<GString, Long>>
{code}

Cheers,
Daniel.Sun
;;;",,,,,,,,,,,,,,,
invokeMethod cannot be set  through category,GROOVY-8408,13123658,Bug,Closed,GROOVY,Groovy,software,paulk,Groovy programming language: a modern multi-faceted language for the JVM,https://groovy.apache.org,Major,Fixed,daniel_sun,ecerulm,ecerulm,08/Dec/17 09:19,26/Jul/18 04:38,14/Jul/23 06:02,04/May/18 00:12,2.4.13,2.5.x,2.6.0-alpha-2,3.x,,,,,2.5.0-rc-3,2.6.0-alpha-4,3.0.0-alpha-3,,,,,,0,,,,,,,"In the Groovy in Action book, chapter 8.4.5 says 

{quote}Category method names can well take the form of property accessors (pretending property access), operator methods, and GroovyObject methods. MOP hook methods cannot be added through a category class. This is a restriction as of Groovy 2.4. The feature may become available in later versions.{quote}

It interpreted this as meaning that I can add GroovyMethods (getProperty,
getMetaClass, invokeMethod , setMetaClass and setProperty)  to a class using categories but not
methodMissing or propertyMissing (which I think they call MOP hook methods in the GINA book).

But when I tried to add invokeMethod using a category the change has no effect, adding missingMethod does not work either see attachement. 

I see that methodsMissing/ propertyMissing via category was probably never supported noted in GROOVY-3867. But the Groovy in Action paragraph makes me think that invokeMethod et al were supported at some point. 



Mailing list thread with [~blackdrag] on the [mailing list|http://markmail.org/message/xlj74kawyayspnzv?q=list:org%2Eapache%2Egroovy%2Eusers+category+category]


",,daniel_sun,ecerulm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GROOVY-3867,,,,,,"08/Dec/17 09:16;ecerulm;categoryMissingMethod.groovy;https://issues.apache.org/jira/secure/attachment/12901215/categoryMissingMethod.groovy",,,,1.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,9223372036854775807,,,Fri May 04 00:12:32 UTC 2018,,,,,,,,,,"0|i3nom7:",9223372036854775807,,,,,,,,,,,,,,,,,,,"04/May/18 00:12;daniel_sun;The proposed PR is merged. Thanks!

https://github.com/apache/groovy/commit/ad664b181249c4b8e8821003d7e750632943ce36;;;",,,,,,,,,,,,,,,,,,,,,
antlr4 jar file has not been repackaged into groovy-all-2.6.0-XXX-indy.jar,GROOVY-8407,13123595,Bug,Closed,GROOVY,Groovy,software,paulk,Groovy programming language: a modern multi-faceted language for the JVM,https://groovy.apache.org,Major,Fixed,daniel_sun,daniel_sun,daniel_sun,08/Dec/17 00:05,08/Dec/17 01:08,14/Jul/23 06:02,08/Dec/17 01:08,2.6.0-alpha-1,2.6.0-alpha-2,,,,,,,2.6.0-alpha-3,,,,,,,,0,,,,,,,"antlr4 jar file has not been repackaged into groovy-all-2.6.0-XXX-indy.jar, but groovy-all-3.0.0-XXX-indy.jar contains antlr4 jar file.",,daniel_sun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,9223372036854775807,,,Fri Dec 08 01:08:48 UTC 2017,,,,,,,,,,"0|i3no87:",9223372036854775807,,,,,,,,,,,,,,,,,,,"08/Dec/17 01:08;daniel_sun;Fixed by https://github.com/apache/groovy/commit/6546b0b346b62cdf4545c09b640d96f88812f9e4;;;",,,,,,,,,,,,,,,,,,,,,
Inherited methods with default parameters cause cause static compilation to fail,GROOVY-8405,13123547,Bug,Closed,GROOVY,Groovy,software,paulk,Groovy programming language: a modern multi-faceted language for the JVM,https://groovy.apache.org,Minor,Fixed,daniel_sun,nathanwharvey,nathanwharvey,07/Dec/17 20:35,13/Dec/18 10:05,14/Jul/23 06:02,18/Aug/18 08:49,2.5.0-beta-1,,,,,,,,2.5.3,3.0.0-alpha-4,,,Static compilation,,,,0,,,,,,,"Given a super type with a method that has a default argument:

{code}
@CompileStatic
class SuperType {
	void sample(String string, Integer arg=0) {}
}
{code}

And a subclass that extends the method, but omits the optional parameters:
{code}
@CompileStatic
class SubType extends SuperType {
	@Override
	void sample(String string) {}
}
{code}

Static type checking fails to pick which method to call in the following code:
{code}
@CompileStatic
class BrokenMethods {
	public static void main(String[] args) {
		new SubType().sample('hi')
	}
}
{code}

The error message is:
{code}
Reference to method is ambiguous. Cannot choose between [void codes.nom.broken.SubType#sample(java.lang.String), void codes.nom.broken.SubType#sample(java.lang.String)]
{code}",,daniel_sun,daniilo,nathanwharvey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,9223372036854775807,,,Sat Aug 18 08:49:02 UTC 2018,,,,,,,,,,"0|i3nnxj:",9223372036854775807,,,,,,,,,,,,,,,,,,,"18/Aug/18 08:49;daniel_sun;The issue is fixed. Here is the test: 

https://github.com/apache/groovy/commit/680317fc2c4e9cdf2707b386e5cc5f49f670bab9;;;",,,,,,,,,,,,,,,,,,,,,
Trait FieldHelper is not marked synthetic,GROOVY-8403,13122854,Bug,Closed,GROOVY,Groovy,software,paulk,Groovy programming language: a modern multi-faceted language for the JVM,https://groovy.apache.org,Major,Fixed,paulk,daniilo,daniilo,05/Dec/17 11:55,14/Aug/18 08:05,14/Jul/23 06:02,06/Aug/18 15:20,,,,,,,,,2.5.2,,,,Compiler,,,,0,,,,,,,,,daniilo,paulk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,9223372036854775807,,,Mon Aug 06 15:20:54 UTC 2018,,,,,,,,,,"0|i3njon:",9223372036854775807,,,,,,,,,,,,,,,,,,,"22/Dec/17 22:53;daniilo;Obvious question: is it intentional?;;;","06/Aug/18 15:20;paulk;It seems to me like it should match the normal Helper class.;;;",,,,,,,,,,,,,,,,,,,,
