Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocked),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Completes),Outward issue link (Completes),Inward issue link (Duplicate),Inward issue link (Duplicate),Inward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Problem/Incident),Inward issue link (Problem/Incident),Outward issue link (Problem/Incident),Inward issue link (Reference),Outward issue link (Reference),Inward issue link (Required),Outward issue link (Required),Inward issue link (Testing),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Affects version (Component)),Custom field (Attachment count),Custom field (Blog - New Blog Administrators),Custom field (Blog - New Blog PMC),Custom field (Blog - Write access),Custom field (Blog Administrator?),Custom field (Blogs - Admin for blog),Custom field (Blogs - Email Address),Custom field (Blogs - Existing Blog Access Level),Custom field (Blogs - Existing Blog Name),Custom field (Blogs - New Blog Write Access),Custom field (Blogs - Username),Custom field (Bug Category),Custom field (Bugzilla - Email Notification Address),Custom field (Bugzilla - List of usernames),Custom field (Bugzilla - PMC Name),Custom field (Bugzilla - Project Name),Custom field (Bugzilla Id),Custom field (Bugzilla Id),Custom field (Change Category),Custom field (Complexity),Custom field (Discovered By),Custom field (Docs Text),Custom field (Enable Automatic Patch Review),Custom field (Epic Link),Custom field (Estimated Complexity),Custom field (Evidence Of Open Source Adoption),Custom field (Evidence Of Registration),Custom field (Evidence Of Use On World Wide Web),Custom field (Existing GitBox Approval),Custom field (External issue URL),Custom field (Fix version (Component)),Custom field (Flags),Custom field (Flags),Custom field (Git Notification Mailing List),Custom field (Git Repository Import Path),Custom field (Git Repository Name),Custom field (Git Repository Type),Custom field (GitHub Options),Custom field (Github Integration),Custom field (Github Integrations - Other),Custom field (Global Rank),Custom field (INFRA - Subversion Repository Path),Custom field (Initial Confluence Contributors),Custom field (Language),Custom field (Last public comment date),Custom field (Level of effort),Custom field (Machine Readable Info),Custom field (Mentor),Custom field (New-TLP-TLPName),Custom field (Original story points),Custom field (Parent Link),Custom field (Priority),Custom field (Project),Custom field (Protected Branch),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Review Date),Custom field (Reviewer),Custom field (Reviewer),Custom field (Severity),Custom field (Severity),Custom field (Skill Level),Custom field (Source Control Link),Custom field (Space Description),Custom field (Space Key),Custom field (Space Name),Custom field (Start Date),Custom field (Tags),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test and Documentation Plan),Custom field (Testcase included),Custom field (Tester),Custom field (Workaround),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
StorageTool help specifies user as parameter not name,KAFKA-15114,13541046,Bug,Resolved,KAFKA,Kafka,software,mimaison,Apache Kafka is a distributed streaming platform.,http://kafka.apache.org/,Minor,Fixed,pprovenzano,pprovenzano,pprovenzano,22/Jun/23 14:41,05/Jul/23 16:45,13/Jul/23 09:17,05/Jul/23 16:45,3.5.0,,,,,,,,,,,,,,,3.5.1,3.6.0,,,,,,kraft,,,,,,0,,,,,,"StorageTool help message current specifies setting a {{user}} parameter when creating a SCRAM record for bootstrap.

The StorageTool parses and only accepts the parameter as {{name}} and so the help message is wrong.

The choice of using {{name}} vs. {{user}} as a parameter is because internally the record uses name, all tests using the StorageTool use name as a parameter, KafkaPrincipals are created with {{name}} and because creating SCRAM credentials is done with {{--entity-name}}

I will change the help to specify {{name}} instead of {{user}}.


 ",,pprovenzano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,9223372036854775807,,,,2023-06-22 14:41:12.0,,,,,,,,,,"0|z1ipyw:",9223372036854775807,,cmccabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISR shrink/expand issues on ZK brokers during migration,KAFKA-15109,13540787,Bug,Resolved,KAFKA,Kafka,software,mimaison,Apache Kafka is a distributed streaming platform.,http://kafka.apache.org/,Critical,Fixed,mumrah,mumrah,mumrah,20/Jun/23 16:00,27/Jun/23 15:49,13/Jul/23 09:17,22/Jun/23 21:00,3.6.0,,,,,,,,,,,,,,,3.6.0,,,,,,,kraft,replication,,,,,0,,,,,,"KAFKA-15021 introduced a new controller behavior that avoids increasing the leader epoch during the controlled shutdown scenario. This prevents some unnecessary thrashing of metadata and threads on the brokers and clients. 

While a cluster is in a KIP-866 migration and has a KRaft controller with ZK brokers, we cannot employ this leader epoch bump avoidance. The ZK brokers must have the leader epoch bump in order for ReplicaManager to react to the LeaderAndIsrRequest.",,mumrah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,9223372036854775807,,,,2023-06-20 16:00:09.0,,,,,,,,,,"0|z1iodk:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KRaft migration does not proceed and broker dies if authorizer.class.name is set,KAFKA-15098,13540455,Bug,Resolved,KAFKA,Kafka,software,mimaison,Apache Kafka is a distributed streaming platform.,http://kafka.apache.org/,Blocker,Fixed,mumrah,rndgstn,rndgstn,16/Jun/23 21:18,22/Jun/23 21:00,13/Jul/23 09:17,22/Jun/23 21:00,3.5.0,,,,,,,,,,,,,,,3.5.1,3.6.0,,,,,,kraft,,,,,,1,,,,,,"[ERROR] 2023-06-16 20:14:14,298 [main] kafka.Kafka$ - Exiting Kafka due to fatal exception
java.lang.IllegalArgumentException: requirement failed: ZooKeeper migration does not yet support authorizers. Remove authorizer.class.name before performing a migration.
",,rndgstn,tvainika,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,9223372036854775807,,,,2023-06-16 21:18:04.0,,,,,,,,,,"0|z1imcw:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVE 2023-34455 - Vulnerability identified with Apache kafka,KAFKA-15096,13540430,Bug,Resolved,KAFKA,Kafka,software,mimaison,Apache Kafka is a distributed streaming platform.,http://kafka.apache.org/,Major,Fixed,manyanda,Sasikumarms,Sasikumarms,16/Jun/23 15:39,07/Jul/23 13:26,13/Jul/23 09:17,19/Jun/23 08:40,3.3.0,3.3.1,3.3.2,3.4.0,3.4.1,3.5.0,,,,,,,,,,3.3.3,3.4.2,3.5.1,3.6.0,,,,,,,,,,0,,,,,,"A new vulnerability CVE-2023-34455 is identified with apache kafka dependency. The vulnerability is coming from snappy-java:1.1.8.4

Version 1.1.10.1 contains a patch for this issue. Please upgrade the snappy-java version to fix this issue

 
snappy-java is a fast compressor/decompressor for Java. Due to use of an unchecked chunk length, an unrecoverable fatal error can occur in versions prior to 1.1.10.1.
The code in the function hasNextChunk in the fileSnappyInputStream.java checks if a given stream has more chunks to read. It does that by attempting to read 4 bytes. If it wasn’t possible to read the 4 bytes, the function returns false. Otherwise, if 4 bytes were available, the code treats them as the length of the next chunk.
In the case that the `compressed` variable is null, a byte array is allocated with the size given by the input data. Since the code doesn’t test the legality of the `chunkSize` variable, it is possible to pass a negative number (such as 0xFFFFFFFF which is -1), which will cause the code to raise a `java.lang.NegativeArraySizeException` exception. A worse case would happen when passing a huge positive value (such as 0x7FFFFFFF), which would raise the fatal `java.lang.OutOfMemoryError` error.",,jlprat,manyanda,Sasikumarms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Mon Jun 19 10:52:07 UTC 2023,,,,,,,,,,"0|z1im7c:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"16/Jun/23 16:02;manyanda;Thank you for reporting the issue [~Sasikumarms] an PR has been opened in 
[https://github.com/apache/kafka/pull/13865]
to bump the version. 
Once merged, I'll let the release managers determine how far the fix can be backported. ;;;","19/Jun/23 10:52;jlprat;I cherry-picked this to 3.3, 3.4 and 3.5;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fetcher's lag never set when partition is idle,KAFKA-15080,13539612,Bug,Resolved,KAFKA,Kafka,software,mimaison,Apache Kafka is a distributed streaming platform.,http://kafka.apache.org/,Major,Fixed,dajac,dajac,dajac,12/Jun/23 07:55,13/Jun/23 13:26,13/Jul/23 09:17,13/Jun/23 13:26,,,,,,,,,,,,,,,,3.5.1,3.6.0,,,,,,,,,,,,0,,,,,,"The PartitionFetchState's lag field is set to None when the state is created and it is updated when bytes are received for a partition. For idle partitions (newly created or not), the lag is never updated because `validBytes > 0` is never true. As a side effect, the partition is considered out-of-sync and could be incorrectly throttled.",,dajac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,9223372036854775807,,,,2023-06-12 07:55:24.0,,,,,,,,,,"0|z1ih5k:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FileTokenRetriever doesn't trim the token before returning it.,KAFKA-15077,13539449,Bug,Resolved,KAFKA,Kafka,software,mimaison,Apache Kafka is a distributed streaming platform.,http://kafka.apache.org/,Minor,Fixed,smjn,sushmahajn,sushmahajn,09/Jun/23 14:18,11/Jun/23 06:23,13/Jul/23 09:17,11/Jun/23 06:23,,,,,,,,,,,,,,,,3.6.0,,,,,,,clients,,,,,,0,,,,,,"The {{FileTokenRetriever}} class is used to read the access_token from a file on the clients system and then the info is passed along with jaas config to the {{{}OAuthBearerSaslServer{}}}.

The server uses the class {{OAuthBearerClientInitialResponse}} to validate the token format.

In case the token was sent using {{FileTokenRetriever}} on the client side, some EOL character is getting appended to the token, causing authentication to fail with the message (in case to topic create):
 {{ERROR org.apache.kafka.common.errors.SaslAuthenticationException: Authentication failed during authentication due to invalid credentials with SASL mechanism OAUTHBEARER}}
 
On the server side the following line [https://github.com/apache/kafka/blob/trunk/clients/src/main/java/org/apache/kafka/common/security/oauthbearer/internals/OAuthBearerClientInitialResponse.java#L68] with throw an exception failing the request.",,sushmahajn,,,,,,,,,3600,3600,,0%,3600,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,9223372036854775807,,,,2023-06-09 14:18:22.0,,,,,,,,,,"0|z1ig5c:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exactly-once source tasks fail to start during pending rebalances,KAFKA-15059,13538830,Bug,Resolved,KAFKA,Kafka,software,mimaison,Apache Kafka is a distributed streaming platform.,http://kafka.apache.org/,Blocker,Fixed,ChrisEgerton,ChrisEgerton,ChrisEgerton,05/Jun/23 21:38,11/Jul/23 14:23,13/Jul/23 09:17,21/Jun/23 08:58,3.6.0,,,,,,,,,,,,,,,3.6.0,,,,,,,KafkaConnect,mirrormaker,,,,,1,,,,,,"When asked to perform a round of zombie fencing, the distributed herder will [reject the request|https://github.com/apache/kafka/blob/17fd30e6b457f097f6a524b516eca1a6a74a9144/connect/runtime/src/main/java/org/apache/kafka/connect/runtime/distributed/DistributedHerder.java#L1249-L1250] if a rebalance is pending, which can happen if (among other things) a config for a new connector or a new set of task configs has been recently read from the config topic.

Normally this can be alleviated with a simple task restart, which isn't great but isn't terrible.

However, when running MirrorMaker 2 in dedicated mode, there is no API to restart failed tasks, and it can be more common to see this kind of failure on a fresh cluster because three connector configurations are written in rapid succession to the config topic.

 

In order to provide a better experience for users of both vanilla Kafka Connect and dedicated MirrorMaker 2 clusters, we can retry (likely with the same exponential backoff introduced with KAFKA-14732) zombie fencing attempts that fail due to a pending rebalance.",,ChrisEgerton,divijvaidya,viktorsomogyi,,,,,,,,,,,,,,,,,,,,,,,,,,,KAFKA-14718,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Tue Jul 11 14:23:10 UTC 2023,,,,,,,,,,"0|z1icbs:",9223372036854775807,,,,,,,,,,,,,,,,,,,,"06/Jun/23 12:04;ChrisEgerton;On second thought, it may be unnecessary to check for a pending rebalance at all.

 

If the worker that we forward the zombie fencing request to is a zombie leader (i.e., a worker that believes it is the leader but in reality is not), it will fail to finish the round of zombie fencing because it won't be able to write to the config topic with a transactional producer.

If the connector has just been deleted, we'll still fail the request since we force a read-to-end of the config topic and refresh our snapshot of its contents before checking to see if the connector exists.

And regardless, the worker that owns the task will still do a read-to-end of the config topic and verify that (1) no new task configs have been generated for the connector and (2) the worker is still assigned the connector, before allowing the task to process any data.;;;","21/Jun/23 08:58;viktorsomogyi;[~ChrisEgerton] since the PR is merged, I resolve this ticket.;;;","21/Jun/23 13:06;ChrisEgerton;Ah, thanks Viktor!;;;","11/Jul/23 09:11;divijvaidya;[~ChrisEgerton] Is this a backport candidate for 3.5.1?;;;","11/Jul/23 14:23;ChrisEgerton;[~divijvaidya] no; this was introduced by [https://github.com/apache/kafka/pull/13465]. It did not affect anything except trunk and never made it into a release (see the affected/fix versions fields).;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regression for security.protocol validation starting from 3.3.0,KAFKA-15053,13538657,Bug,Resolved,KAFKA,Kafka,software,mimaison,Apache Kafka is a distributed streaming platform.,http://kafka.apache.org/,Major,Fixed,dlgaobo,dlgaobo,dlgaobo,02/Jun/23 23:31,29/Jun/23 17:24,13/Jul/23 09:17,29/Jun/23 17:17,3.3.0,,,,,,,,,,,,,,,3.3.3,3.4.2,3.5.1,3.6.0,,,,clients,,,,,,0,backport,,,,,"[This|https://issues.apache.org/jira/browse/KAFKA-13793] Jira issue introduced validations on multiple configs. As a consequence, config {{security.protocol}} now only allows upper case values such as PLAINTEXT, SSL, SASL_PLAINTEXT, SASL_SSL. Before this change, lower case values like sasl_ssl, ssl are also supported, there's even a case insensitive logic inside [SecurityProtocol|https://github.com/apache/kafka/blob/146a6976aed0d9f90c70b6f21dca8b887cc34e71/clients/src/main/java/org/apache/kafka/common/security/auth/SecurityProtocol.java#L70-L73] to handle the lower case values.

I think we should treat this as a regression bug since we don't support lower case values anymore since 3.3.0. For versions later than 3.3.0, we are getting error like this when using lower case value sasl_ssl

{{Invalid value sasl_ssl for configuration security.protocol: String must be one of: PLAINTEXT, SSL, SASL_PLAINTEXT, SASL_SSL}}",,ChrisEgerton,divijvaidya,dlgaobo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,9223372036854775807,,,,Thu Jun 29 17:16:54 UTC 2023,,,,,,,,,,"0|z1ib9c:",9223372036854775807,,divijvaidya,,,,,,,,,,,,,,,,,,"05/Jun/23 13:29;ChrisEgerton;Thanks [~dlgaobo]. I agree that this is a regression and we should re-introduce case-insensitive support for this this property.

Are you interested in providing a patch for this?;;;","06/Jun/23 01:23;dlgaobo;Hi [~ChrisEgerton], sure, I can do a fix for that! ;;;","08/Jun/23 23:44;dlgaobo;Hi [~ChrisEgerton] , just created a pull request for the fix [https://github.com/apache/kafka/pull/13831].

I also have a quick question for the release process: imagine this fix is merged and released, to consume this fix, do I need to upgrade to the latest Kafka version? Or is there a way to include this fix in a minor release? Thanks!;;;","21/Jun/23 23:46;dlgaobo;Hi [~ChrisEgerton] , quick question for the fix of this ticket: can we include it into the 3.3.x minor release as well or we have already stopped doing minor release for 3.3.x and the only way is to make it in 3.5.1?;;;","22/Jun/23 14:36;ChrisEgerton;[~dlgaobo] we can probably backport this back to 3.3.x, 3.4.x, and 3.5.x. I'm not certain there will be another 3.3.x release but if there is, we can include this fix in it (assuming it's merged by then, which is looking quite likely).;;;","22/Jun/23 16:46;dlgaobo;Thanks [~ChrisEgerton]! It would be great if we can backport this to 3.3.0! Also, if we do so, is there anything that the client needs to do to consume this change or the change would be there automatically?;;;","23/Jun/23 15:30;ChrisEgerton;[~dlgaobo] I think that may have been a typo, but just to be extra clear–we will never backport this to 3.3.0, which has already been released. We may backport it to the 3.3 branch, which will then cause the change to be included if we do another 3.3.x release (right now, that would be 3.3.3).

 

Assuming you're asking about 3.3.x in general and not 3.3.0 specifically, then yes, I believe that once they've upgraded to the new version (e.g., 3.3.3), there's nothing else users will have to do to benefit from this fix. However, again, I'm not certain there will be another 3.3.x release, so they may have to upgrade to a 3.4.x version to get this fix.;;;","29/Jun/23 17:16;divijvaidya;This has been backported to 3.5.x, 3.4.x and 3.3.x with the following commits:
[https://github.com/apache/kafka/commit/15ce855fc117dbc6ddbc87888be8e91de025c73a]
[https://github.com/apache/kafka/commit/a25cc752a42780a9c042e8a556c393dfc9ab8a21] 
[https://github.com/apache/kafka/commit/041afb73ecb081592cd2f9dcf7964545df7c606b] ;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snappy v.1.1.9.1 NoClassDefFound on ARM machines,KAFKA-15044,13538303,Bug,Resolved,KAFKA,Kafka,software,mimaison,Apache Kafka is a distributed streaming platform.,http://kafka.apache.org/,Major,Fixed,david.mao,david.mao,david.mao,31/May/23 17:01,01/Jun/23 09:47,13/Jul/23 09:17,31/May/23 21:52,3.5.0,,,,,,,,,,,,,,,3.5.0,,,,,,,,,,,,,0,,,,,,We upgraded our snappy dependency but v1.1.9.1 has compatibility issues with arm. We should upgrade to v1.1.10.0 which resolves this issue.,,david.mao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,9223372036854775807,,,,2023-05-31 17:01:51.0,,,,,,,,,,"0|z1i93c:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KRaft controller increases leader epoch when shrinking ISR,KAFKA-15021,13537681,Bug,Resolved,KAFKA,Kafka,software,mimaison,Apache Kafka is a distributed streaming platform.,http://kafka.apache.org/,Major,Fixed,jsancio,jsancio,jsancio,25/May/23 14:55,09/Jun/23 11:35,13/Jul/23 09:17,09/Jun/23 11:35,,,,,,,,,,,,,,,,3.6.0,,,,,,,controller,kraft,,,,,0,,,,,,"When the KRaft controller shrinks the ISR it also forces the leader epoch to increase. This is unnecessary and cases all of the follower replica fetches to get invalidated.

Here is an example trace of this behavior after replica 8 was shutdown:
{code:java}
kafka-dump-log --cluster-metadata-decoder --files __cluster_metadata-0/00000000000038589501.log | grep Pd7wMb4lSkKI00--SrWNXw
...
| offset: 38655592 CreateTime: 1683849857362 keySize: -1 valueSize: 41 sequence: -1 headerKeys: [] payload: {""type"":""PARTITION_CHANGE_RECORD"",""version"":0,""data"":{""partitionId"":7,""topicId"":""Pd7wMb4lSkKI00--SrWNXw"",""isr"":[3,1],""leader"":1}}
| offset: 38655593 CreateTime: 1683849857362 keySize: -1 valueSize: 41 sequence: -1 headerKeys: [] payload: {""type"":""PARTITION_CHANGE_RECORD"",""version"":0,""data"":{""partitionId"":5,""topicId"":""Pd7wMb4lSkKI00--SrWNXw"",""isr"":[0,4],""leader"":4}}
| offset: 38655594 CreateTime: 1683849857362 keySize: -1 valueSize: 41 sequence: -1 headerKeys: [] payload: {""type"":""PARTITION_CHANGE_RECORD"",""version"":0,""data"":{""partitionId"":6,""topicId"":""Pd7wMb4lSkKI00--SrWNXw"",""isr"":[0,1],""leader"":0}}
| offset: 38656159 CreateTime: 1683849974945 keySize: -1 valueSize: 39 sequence: -1 headerKeys: [] payload: {""type"":""PARTITION_CHANGE_RECORD"",""version"":0,""data"":{""partitionId"":7,""topicId"":""Pd7wMb4lSkKI00--SrWNXw"",""isr"":[3,1,8]}}
| offset: 38656256 CreateTime: 1683849994297 keySize: -1 valueSize: 39 sequence: -1 headerKeys: [] payload: {""type"":""PARTITION_CHANGE_RECORD"",""version"":0,""data"":{""partitionId"":5,""topicId"":""Pd7wMb4lSkKI00--SrWNXw"",""isr"":[0,4,8]}}
| offset: 38656299 CreateTime: 1683849997139 keySize: -1 valueSize: 39 sequence: -1 headerKeys: [] payload: {""type"":""PARTITION_CHANGE_RECORD"",""version"":0,""data"":{""partitionId"":6,""topicId"":""Pd7wMb4lSkKI00--SrWNXw"",""isr"":[0,1,8]}}
| offset: 38657003 CreateTime: 1683850157379 keySize: -1 valueSize: 30 sequence: -1 headerKeys: [] payload: {""type"":""PARTITION_CHANGE_RECORD"",""version"":0,""data"":{""partitionId"":7,""topicId"":""Pd7wMb4lSkKI00--SrWNXw"",""leader"":8}} {code}
Also, notice how the leader epoch was not increased when the ISR was expanded.",,jsancio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,9223372036854775807,,,,2023-05-25 14:55:05.0,,,,,,,,,,"0|z1i59k:",9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
