project,commit_hash,code_change_old_path,code_change_new_path,config_change_old_path,config_change_new_path,label
kafka,31fca1611a6780e8a8aa3ac21618135201718e32,clients\src\main\java\org\apache\kafka\clients\admin\KafkaAdminClient.java,clients\src\main\java\org\apache\kafka\clients\admin\KafkaAdminClient.java,clients\src\main\resources\common\message\DescribeLogDirsRequest.json,clients\src\main\resources\common\message\DescribeLogDirsRequest.json,"{""chunk 1"": 1, ""chunk 2"": 1, ""chunk 3"": 0}"
kafka,31fca1611a6780e8a8aa3ac21618135201718e32,clients\src\main\java\org\apache\kafka\clients\admin\KafkaAdminClient.java,clients\src\main\java\org\apache\kafka\clients\admin\KafkaAdminClient.java,clients\src\main\resources\common\message\DescribeLogDirsResponse.json,clients\src\main\resources\common\message\DescribeLogDirsResponse.json,"{""chunk 1"": 1, ""chunk 2"": 1, ""chunk 3"": 1}"
kafka,31fca1611a6780e8a8aa3ac21618135201718e32,clients\src\main\java\org\apache\kafka\common\requests\DescribeLogDirsRequest.java,clients\src\main\java\org\apache\kafka\common\requests\DescribeLogDirsRequest.java,clients\src\main\resources\common\message\DescribeLogDirsRequest.json,clients\src\main\resources\common\message\DescribeLogDirsRequest.json,"{""chunk 1"": 1, ""chunk 2"": 0, ""chunk 3"": 0}"
kafka,31fca1611a6780e8a8aa3ac21618135201718e32,clients\src\main\java\org\apache\kafka\common\requests\DescribeLogDirsRequest.java,clients\src\main\java\org\apache\kafka\common\requests\DescribeLogDirsRequest.java,clients\src\main\resources\common\message\DescribeLogDirsResponse.json,clients\src\main\resources\common\message\DescribeLogDirsResponse.json,"{""chunk 1"": 1, ""chunk 2"": 1, ""chunk 3"": 1}"
kafka,31fca1611a6780e8a8aa3ac21618135201718e32,clients\src\main\java\org\apache\kafka\common\requests\DescribeLogDirsResponse.java,clients\src\main\java\org\apache\kafka\common\requests\DescribeLogDirsResponse.java,clients\src\main\resources\common\message\DescribeLogDirsRequest.json,clients\src\main\resources\common\message\DescribeLogDirsRequest.json,"{""chunk 1"": 1, ""chunk 2"": 1, ""chunk 3"": 0}"
kafka,31fca1611a6780e8a8aa3ac21618135201718e32,clients\src\main\java\org\apache\kafka\common\requests\DescribeLogDirsResponse.java,clients\src\main\java\org\apache\kafka\common\requests\DescribeLogDirsResponse.java,clients\src\main\resources\common\message\DescribeLogDirsResponse.json,clients\src\main\resources\common\message\DescribeLogDirsResponse.json,"{""chunk 1"": 1, ""chunk 2"": 1, ""chunk 3"": 1}"
kafka,31fca1611a6780e8a8aa3ac21618135201718e32,clients\src\test\java\org\apache\kafka\clients\admin\KafkaAdminClientTest.java,clients\src\test\java\org\apache\kafka\clients\admin\KafkaAdminClientTest.java,clients\src\main\resources\common\message\DescribeLogDirsRequest.json,clients\src\main\resources\common\message\DescribeLogDirsRequest.json,"{""chunk 1"": 1, ""chunk 2"": 1, ""chunk 3"": 0}"
kafka,31fca1611a6780e8a8aa3ac21618135201718e32,clients\src\test\java\org\apache\kafka\clients\admin\KafkaAdminClientTest.java,clients\src\test\java\org\apache\kafka\clients\admin\KafkaAdminClientTest.java,clients\src\main\resources\common\message\DescribeLogDirsResponse.json,clients\src\main\resources\common\message\DescribeLogDirsResponse.json,"{""chunk 1"": 1, ""chunk 2"": 1, ""chunk 3"": 1}"
kafka,31fca1611a6780e8a8aa3ac21618135201718e32,clients\src\test\java\org\apache\kafka\common\requests\RequestResponseTest.java,clients\src\test\java\org\apache\kafka\common\requests\RequestResponseTest.java,clients\src\main\resources\common\message\DescribeLogDirsRequest.json,clients\src\main\resources\common\message\DescribeLogDirsRequest.json,"{""chunk 1"": 1, ""chunk 2"": 1, ""chunk 3"": 0}"
kafka,31fca1611a6780e8a8aa3ac21618135201718e32,clients\src\test\java\org\apache\kafka\common\requests\RequestResponseTest.java,clients\src\test\java\org\apache\kafka\common\requests\RequestResponseTest.java,clients\src\main\resources\common\message\DescribeLogDirsResponse.json,clients\src\main\resources\common\message\DescribeLogDirsResponse.json,"{""chunk 1"": 1, ""chunk 2"": 0, ""chunk 3"": 1}"
